"NestID","EggLetter","Year","Treatment","FemaleID","MaleID","ClutchSize","SampleDOY","IncStage","LayDOY","EggAge","LayOrder_est","LayOrder_known","Mass_egg","Length_egg","Width_egg","Volume_egg","Mass_yolk","Mass_albumen","Mass_shell","MeanStrength","Carotenoid_ugml","Carotenoid_ugg","Carot_ugyolk","T_concentration","FcaughtDOY","FemaleAge","Ectoparasites","Mass_female","Tarsus_female","YellowAreaScore_female","HTheta_female","HPhi_female","RVec_female","Lum_female","ScaledBodyMass_female","HTheta_egg","HPhi_egg","RVec_egg","RMax_egg","RAchieved_egg","Lum_egg","Thickness_shell","ClutchMass_shell","Ectoparasites2","ClutchInitiationDate"
"FC21","C",2008,"EXP",822,726,4,155,1.25,153,2,3,,6.86,2.8055,2.1945,6.80944913,1.638,4.241,0.577,207.33,2.784,53.024,86.854,3.07,158,1,0,80.8,40.1,3,0.331085078,-1.002255946,0.247275531,0.200635872,73.97478611,2.328080485,-1.29388507,0.136233435,0.259901076,0.524174185,0.347634065,0.11,1.798,"NO",
"HX03","D",2008,"EXP",18895,,4,133,1.5,128,5,1,,6.79,3.2045,2.1715,7.615711432,1.537,4.285,0.715,195.25,6.338,126.757,194.825,2.67,133,6,2,79.2,37.9,5,0.294603134,-0.878794372,0.277323253,0.252651203,80.71557556,2.531912573,-1.155519673,0.178559594,0.273222628,0.653531502,0.181505779,0.11,2.22,"YES",128
"LP02","A",2008,"EXP",49268,,4,120,1.5,117,3,2,,6.55,2.905,2.1385,6.695687596,,,,,,,,,,,,,,,,,,,,2.393468551,-1.267022191,0.137584581,0.261995639,0.525140727,0.312330578,0.11,,,116
"LP02","D",2008,"EXP",49268,,4,120,2,116,4,1,,6.42,2.8435,2.1655,6.720477713,,,,,,,,,,,,,,,,,,,,2.313367566,-1.290069458,0.131958052,0.260185126,0.507169851,0.317742825,0.11,,,116
"LP06","D",2008,"EXP",49280,,4,128,0.5,127,1,4,4,7.54,3.1915,2.2825,8.38005671,1.465,3.993,0.344,184.25,,,,,128,6,5,90.5,38.3,3.5,0.254555243,-0.901574679,0.270212923,0.222461895,90.41022998,2.532275488,-1.175818103,0.160513202,0.270854454,0.592617916,0.242864627,0.11,1.672,"YES",124
"LP19","B",2008,"EXP",643,,4,141,2,137.5,3.5,2,2,5.18,2.6845,1.937,5.076369033,1.43,2.366,0.5,273.33,,,,,141,6,0,95.8,38,4,0.321340122,-0.887896558,0.271152031,0.22958432,97.14564605,2.297884655,-1.313237893,0.127993274,0.25852759,0.495085549,0.325663152,0.11,2.409,"NO",137
"LP19","C",2008,"EXP",643,,4,141,1,139.5,1.5,3,,6.44,2.879,2.103,6.417276421,1.394,3.641,0.753,169.33,3.851,77.027,107.376,9.93,141,6,0,95.8,38,4,0.321340122,-0.887896558,0.271152031,0.22958432,97.14564605,2.394066363,-1.230924879,0.152663888,0.265168281,0.575724544,0.233365678,0.11,2.409,"NO",137
"LP28","C",2008,"EXP",49266,,4,146,0.5,144,2,4,,6.79,2.968,2.1615,6.988837019,1.35,4.004,0.552,160.33,4.73,90.09,121.622,4.25,120,6,1,93.9,37.5,2.5,0.24585339,-0.951570118,0.259556728,0.230025875,97.64563834,2.488425239,-1.19968719,0.154869533,0.268261732,0.577307586,0.213591464,0.11,2.143,"YES",141
"LR11","D",2009,"STD",,,4,117,0.5,117,0,4,4,6.32,3.149,2.2525,8.052538249,1.34,4.05,0.68,,3.581,68.211,91.403,6.02,,,,,,,,,,,,2.316003582,-1.289891116,0.131329252,0.260198511,0.504727147,0.217707861,0.11,2.267,,114
"LR24","D",2009,"EXP",49278,,4,123,0.5,123,0,4,4,7.05,3.1375,2.288,8.278016947,1.442,4.411,0.604,,2.73,54.595,78.725,3.12,,,,,,,,,,,,2.498963823,-1.207672576,0.143979053,0.267439219,0.538361775,0.236075281,0.11,0.604,,
"LR30","B",2009,"EXP",894,,3,133,0.5,132,1,2,2,6.35,2.767,2.1,6.15004488,1.051,,0.852,,4.338,91.323,,,138,1,0,90.2,38.2,2,0.298472201,-0.986304199,0.247988266,0.157680896,90.55924921,2.385189311,-1.239600295,0.148129553,0.264367277,0.560317278,0.20308127,0.11,1.874,"NO",131
"PE17","C",2008,"CONT",609,,3,125,3,122,3,2,2,5.11,3.2365,2.3085,8.692924458,,,,,,,,,126,5,0,85.6,37.9,3,0.318579186,-0.891785609,0.275809328,0.197234676,87.23804631,2.393723719,-1.232887913,0.150209934,0.264984862,0.566862321,0.298558348,0.11,,"NO",
"PE21","B",2008,"CONT",606,,4,123,3,119.5,3.5,1.5,,5.55,2.649,1.9355,5.001483565,,,,198.67,,,,,123,1,2,95.8,40.3,3,0.321243288,-0.817067764,0.28606158,0.110270951,86.88255555,2.28982138,-1.284321376,0.13857351,0.260621386,0.531704293,0.311942429,0.11,,"YES",119
"PE21","C",2008,"CONT",606,,4,123,1,121.5,1.5,3,,5.47,2.675,1.942,5.084552945,,,,154,,,,,123,1,2,95.8,40.3,3,0.321243288,-0.817067764,0.28606158,0.110270951,86.88255555,2.36359628,-1.258818089,0.144224505,0.26268003,0.54905013,0.296545015,0.11,,"YES",119
"PE24","A",2008,"STD",,,4,124,0.75,122.5,1.5,3.5,,6.55,2.1395,2.1395,6.490732367,1.494,3.781,0.544,208.33,,,,,,,,,,,,,,,,2.34229405,-1.265801872,0.143233853,0.262096097,0.546493651,0.332527235,0.11,2.763,,120
"PE24","B",2008,"STD",,,4,124,1,122.5,1.5,3.5,,6.53,2.1185,2.1185,6.134549946,1.55,3.515,0.752,209.67,,,,,,,,,,,,,,,,2.297069068,-1.28654156,0.139899285,0.260451688,0.537141017,0.328374823,0.11,2.763,,120
"PE24","D",2008,"STD",,,4,124,1,120.5,3.5,1.5,,6.39,2.078,2.078,5.394835026,1.485,3.525,0.744,201,,,,,,,,,,,,,,,,2.265989851,-1.294093839,0.139832809,0.259885661,0.538055115,0.347027976,0.11,2.763,,120
"PE27","D",2008,"EXP",634,,4,130,0.75,123,7,3.5,,6.58,2.9805,2.1095,6.684650754,1.299,4.235,0.743,204.33,3.446,68.919,89.526,7.86,,,,,,,,,,,,2.271720606,-1.285880121,0.1395345,0.260502087,0.535636781,0.329274657,0.11,,,123
"PE29","D",2008,"EXP",618,,4,130,1,128,2,4,,7.4,3.1265,2.266,8.091122576,1.428,4.541,0.647,241.5,,,,,130,5,0,89.2,37.1,3.5,0.35612322,-0.887303821,0.269243624,0.22736128,94.66753991,2.341707142,-1.251007464,0.152637599,0.26335144,0.579596598,0.333935774,0.11,1.974,"NO",125
"PE31","B",2008,"CONT",634,,4,136,4,130,6,1,,5.63,2.771,2.0255,5.729695697,,,,,,,,,135,6,0,81.7,38.1,3,0.319057669,-0.893506857,0.268930266,0.230565712,82.43492897,2.284585547,-1.264275851,0.141931602,0.262222379,0.54126426,0.313537545,0.11,,"NO",130
"PE31","D",2008,"CONT",634,,4,136,4,131,5,2,,5.68,2.7805,2.0525,5.903638652,,,,,,,,,135,6,0,81.7,38.1,3,0.319057669,-0.893506857,0.268930266,0.230565712,82.43492897,2.27457025,-1.253319144,0.144645882,0.263150695,0.549669389,0.312813987,0.11,,"NO",130
"PE32","B",2008,"EXP",633,,4,135,3,131,4,1,,7.5,3.1385,2.2195,7.792251624,2.275,3.765,0.681,173.5,,,,,135,1,2,91,38.2,4,0.343530888,-0.886624883,0.273957279,0.206217746,91.36243546,2.383489054,-1.242040786,0.151360628,0.264146395,0.573017959,0.279591143,0.11,2.528,"YES",131
"PE32","D",2008,"EXP",633,,4,135,0.5,134,1,4,,7.75,3.115,2.2915,8.243816394,1.46,5.397,0.562,185,3.595,71.892,104.962,5.01,135,1,2,91,38.2,4,0.343530888,-0.886624883,0.273957279,0.206217746,91.36243546,2.400321751,-1.220413542,0.159575654,0.266172257,0.599520236,0.238477498,0.11,2.528,"YES",131
"PE51","C",2008,"",,,3,162,2.7,157,5,1,,6.39,2.8285,2.105,6.316709723,,,0.65,,,,,,,,,,,,,,,,,2.244403489,-1.306055625,0.130049907,0.259024308,0.502076071,0.361593956,0.11,1.897,,157
