NestID,EggLetter,YEAR,TYPE,FEMID,MALEID,CLTCHSIZ,SAMDOY,LAYDOY,AGEATSAM,ESTORD,KNOWNORD,MASS,LENGTH,WIDTH,VOLUME,YOLKMAS,ALBMAS,SHELMAS,MEANSTR,KIT,NOTESLP,NOTESPE,SampleID,Carot_conc_ugml,Carot_ug_g,Carot_ug_yolk,T_concentration,Yolk_sample_mass,Tng_yolkg,Tng_yolkmg,YolkTug,FDOY,AGE,ECTO,BMASS,TARSUS,CONDIT,MEANYAS,h.theta.fem,h.phi.fem,r.vec.fem,lum.fem,fem.scaled.mass,h.theta.egg,h.phi.egg,r.vec.egg,r.max.egg,r.achieved.egg,lum.egg,THICKNESS
LR11,A,2009,STD,,,4,117,114,3,1,1,6.54,3.1655,2.186,7.623829402,1.457,3.678,0.496,,LP,clean,,LR11_1_N,2.932,55.856,81.382,7.36,0.5,11.04,0.01104,16.08528,,,,,,,,,,,,,2.4354321,-1.224607978,0.149173853,0.265767199,0.5612952,0.194915354,0.12
LR26,B,2009,EXP,889,,4,129,127,2,2,2,6.72,3.021,2.1,6.71459544,1.417,1.825,1.145,,LP,clean. Lost alb.  Yolk hard but ok.,,LR26_2_N,1.595,31.892,,,,,,,132,5,1,85.1,39.2,1.16778756,4,0.326199669,-0.979110167,0.247788667,0.257779248,81.34534362,2.443528976,-1.202877863,0.154470607,0.267930429,0.576532525,0.20481383,0.12
LR30,A,2009,EXP,894,,3,133,131,2,1,1,6.18,2.7445,2.0935,6.062331797,1.274,2.833,1.022,,LP,clean. Lost trace yolk_Lost alb (cracked..all)shell weights off,,LR30_1_N,4.892,93.179,,,,,,,138,1,0,90.2,38.2,-0.0801541,2,0.298472201,-0.986304199,0.247988266,0.157680896,90.55924921,2.306912113,-1.293902141,0.128221371,0.259899815,0.493349221,0.239362777,0.12
LR31,B,2009,EXP,49278,,4,133,132,1,2,2,7,3.0715,2.109,6.885479912,1.511,3.949,0.613,,LP,CLEAN. YOLK BROKE MAYBE TINY TINY TRACE ALB IN YOLK,,LR31_2_N,2.311,46.216,70.11,,,,,,,,,,,,,,,,,,2.415731701,-1.237571638,0.144046549,0.264552367,0.544491626,0.21987795,0.12
MC02,B,2008,EXP1,49287,,4,129,126.5,2.5,1.5,,6.98,3.0625,2.1945,7.433233991,1.312,4.634,0.613,177.33,LP,,,MC02_B_N,2.486,47.362,62.138,3.02,0.47,4.26384,0.00426384,5.59415808,135,6,0,90.5,38.6,0.30526112,4.5,0.334976244,-0.857441531,0.28641415,0.166492829,89.07982714,2.504415473,-1.211239136,0.157371865,0.267078973,0.589233449,0.24550282,0.12
PE12,A,2008,EXP,601,613,4,119,117.5,1.5,3.5,,6.66,2.9515,2.141,6.818779685,1.47,3.999,0.802,215.67,PE,,,PE12_A_N,4.351,87.027,127.93,5.63,0.53,8.94534,0.00894534,,119,6,0,84,37,-0.9787348,2.5,0.283220981,-0.941312702,0.256958379,0.195819884,89.60715228,2.424359084,-1.216065851,0.154528859,0.266598378,0.579631653,0.306898366,0.12
PE12,C,2008,EXP,601,613,4,119,115.5,3.5,1.5,,6.27,2.8365,2.046,5.984454689,,,0.657,218,PE,slightly addled - couldn't separate yolk and alb,,,,,,,,,,,119,6,0,84,37,-0.9787348,2.5,0.283220981,-0.941312702,0.256958379,0.195819884,89.60715228,2.389370456,-1.226910731,0.148655365,0.26554733,0.559807416,0.312021744,0.12
PE17,A,2008,CONT,609,,3,125,123,2,3,3,5.34,3.259,2.3175,8.821742615,,,0.586,,PE,,addled,,,,,,,,,,126,5,0,85.6,37.9,-0.1565204,3,0.318579186,-0.891785609,0.275809328,0.197234676,87.23804631,2.373448597,-1.238253055,0.154809203,0.264490046,0.585312019,0.263615305,0.12
PE27,A,2008,EXP,634,,4,130,123,7,1.5,,6.56,3.0985,2.135,7.118324722,1.372,4.165,0.593,211.33,PE,stage = 1,,PE27_A_N,4.757,95.135,130.525,5.12,0.51,7.8336,0.0078336,,,,,,,,,,,,,,2.204751742,-1.304964796,0.140933254,0.259101086,0.543931546,0.321618112,0.12
PE51,B,2008,,,,3,162,158,4,2,,7.06,2.9765,2.095,6.584222188,,,0.595,164,PE,addled,,,,,,,,,,,,,,,,,,,,,,,2.204016697,-1.299416968,0.136778859,0.259497057,0.52709214,0.340363074,0.12
SR01,D,2009,EXP,879,,4,113,112,1,4,4,5.62,,,5.947985256,1.08,3.478,0.525,,LP,clean but yolk broke - bit irrigation?,,SR01_4_A,2.757,58.037,62.68,4.41,0.48,6.3504,0.0063504,6.858432,115,6,1,86.6,37.5,-0.6051364,4,0.277974517,-0.93666287,0.258434106,0.224158506,90.05444388,2.373214279,-1.300090276,0.138317522,0.25944851,0.533121282,0.267894105,0.12
SU07,C,2008,EXP,49274,49276,4,120,118,2,4,,5.85,3.133,2.0215,6.45265466,1.007,3.61,0.86,195,PE,clean separation,,SU07_C_N,1.216,24.324,24.495,2.2,0.5,3.297,0.003297,3.320079,124,6,0,85.6,37,-1.0565204,3.5,0.329569636,-0.844145062,0.28449901,0.21144121,91.31395518,2.120782536,-1.315916346,0.140402316,0.258346247,0.543465671,0.341709307,0.12
SU07,D,2008,EXP,49274,49276,4,120,118,2,2,,6.14,3.186,2.0655,6.850569971,1.578,3.393,0.77,190.75,PE,clean separation,132 4th sample is invalid,SU07_D_N,1.162,23.243,36.678,,,,,,124,6,0,85.6,37,-1.0565204,3.5,0.329569636,-0.844145062,0.28449901,0.21144121,91.31395518,2.025132699,-1.334811769,0.136693628,0.257126354,0.531620451,0.341541637,0.12
